,L5,L4,L3,L2,L1,A,R1,R2,R3,R4,R5
#དགོ་,༻,ཡ,།_,མ་,#བརྩིས་,ན་,༺,ར་,༻,དགུ་
༻,དགུ་,#གཅོད་,ཀི,།_,#བརྩིས་,ན་,དེ་,ཡི་,དེ་,ཚོད་
