,L5,L4,L3,L2,L1,A,R1,R2,R3,R4,R5
༻,སྟེ,ར་,གི་,༙_,#པེ,།༻_༺,#འུ་ཆོས་,༻,#འུ་,ཚོ
#ཧུ,༽༽,མ་,གོ་,༙,#པེ་,༙,_༺,#ཨུ་,༻,ཡིན
