,L5,L4,L3,L2,L1,A,R1,R2,R3,R4,R5
༽,ཅིག་,འ་,#སྡུ་,#དགོ་,#འུ,།_,#ཁྱོ་,ཅང་,#སྡུ་,ས་
དང་,༻,ན,།_༺,མི་,#འུ་,།,མ་གི་,༻,ན་,ག་
༺,རེ་,༻_,༙,ད་,#འུ་,༙_,༙,ནོག་,#རྩི་དཀར་,པོ་
༻,ཅིག་,གཞན་,པ་,༺,#འུ་,༻_༺,#ལ་ཁ་,༻,རྩི་,༙
,ད་,༺,#དུ་,མོ་,#འུ་,༻,རྩི་,ཞིག་,༺,འ་
༺,ང་,།,བ་,༻_༺,#འུ་,༻_༺,#དཀྱིས་,།,དཀྱིལ་,༻
རྩི་,དེ་,#འབུད་,ས་,༺,#འུ་,༻,ཁུངས་,འདྲ,།_,ལྷོ་ཕྱོགས་
རྒྱུ་,བོ་,དེ་,༺,#དུ་,#འུ་,།,#དེ་ནས,།༻_,,གནས་
༺,ཟིག་,༻_༺,#དུ་,མོ་,#འུ་,༻༼,དོགས་གཞི,འི་,ཚིག,༽
ཚིག,༽,ད་,མི་,ཤེས་,#འུ,།_,ཡང་དག་,༺,ཟིག་,༻
༻,སོང་,།_,དྲྭ་,༺,#འུ་,༻_༺,དོ་,#འུ་,།,#ཐུབ་
དྲྭ་,༺,#འུ་,༻_༺,དོ་,#འུ་,།,#ཐུབ་,ཀི་,༻,མེད་
