,L5,L4,L3,L2,L1,A,R1,R2,R3,R4,R5
།,ལ་,༻,ངས་,གཅིག་,#འདྲི་,ཨ,༻_,,སློབ་གྲྭ་,ར་
#དུ་རེ་,༻_,ནོ,ར་,ནག་,#འདྲི་,ཞོར་,༺,ར,།༻_,
