,L5,L4,L3,L2,L1,A,R1,R2,R3,R4,R5
#ཉེ,ས་,དང་,ངིས་,༻_༺,#ཧུ་འུ་,།,ཁོ་,ཚོ,འི་,༻
བཞག་,༺,དང་,ངིས་,༻_༺,#ཧུ་འུ་,༻,ལག་,གི་,འཇོག་,མ་
