,L5,L4,L3,L2,L1,A,R1,R2,R3,R4,R5
#བྱུང་གི་,།,#མ་གཞི་,༻,ན་ནིང་,#ཞི་མོ་,ཅན་,༺,གོ་,།,པོ་
གི,།_,,ངེད་,ཀི་,#ཞི་མོ,།_༼༽_,,དེ་,སློབ་གྲྭ་,༺
