,L5,L4,L3,L2,L1,A,R1,R2,R3,R4,R5
#འདི་མོ་,ཟིག་,༻,#དམའ་,༺,#སེ་,།,ས་,༻,ཡིན་,ནི་
#ཆི་ཟིག་,རེ་,༻,ནག་,#རིབ་,#སེ,།_,,ལྕགས་,ར་,༙
