,L5,L4,L3,L2,L1,A,R1,R2,R3,R4,R5
#ག་ས་,༺,ཟིག་,འ་,༻_༺,#བསྒུར་,རས་,།,སྒུར་,སྒུར་,བྱས་
༺,ངིས་,༻_༺,མ་,ར་,#བསྒུར་,རས་,༻_༺,#ཁ་ཡོག་,།,#འོག་ཕྱོགས་
