,L5,L4,L3,L2,L1,A,R1,R2,R3,R4,R5
#ཁ་རྩང་,གི,།_,,༺,#ཐེས་,།,#ཐེལ་,༻,#བརྒྱབ་,༺
༺,#འུ་,།,#ཡིས་,༻_༺,#ཐེས་,༻,#བརྒྱབ་,ཀི་,#བརྒྱབ་,ཀི་
