,L5,L4,L3,L2,L1,A,R1,R2,R3,R4,R5
ཡོ་,ཁུ,།༻__,,#ཁར་སང་,#ཁས་ཉིན་,༺,ཟིག་,འ་,༻,ད་
#ཐུ་འུ་,།,བཟང་,གི་,༻_,#ཁས་ཉིན་,བ,ར་,རྒྱུགས་,བླངས་,༺
