,L5,L4,L3,L2,L1,A,R1,R2,R3,R4,R5
༺,ཡོ་,ཁུ,།༻__,,#ཁར་སང་,#ཁས་ཉིན་,༺,ཟིག་,འ་,༻
འི་,རླངས་འཁོར་,ཟིག,།_,,#ཁར་སང་,༺,#འུ་ཆོས་,༻,གོ,ར་
རྩེ་,བྱེད་,བྱས,།༻༼༽_,,#ཁར་སང་,ང་,གློང་,ཉ་,ཁོག་,གི་
