,L5,L4,L3,L2,L1,A,R1,R2,R3,R4,R5
༺,#འུ་,༻,དེ,ས་,#གཅོག་,གི་,༺,#དུ་,མོ་,༻
#འཕྲིན་,གི་,དེ,ས་,མི་,#གཅོག་,གི,།_,,ངེད་,ཀི་
