,L5,L4,L3,L2,L1,A,R1,R2,R3,R4,R5
#གྱོ་,རེ་,༻,#ཨོ,།_,#བསད་,ད་,ཡོད་,༺,ཚ་,།
ར་,མང་,༺,ང་,༻,#བསད་,༺,ལས་,༻,བཞག་,༙
