,L5,L4,L3,L2,L1,A,R1,R2,R3,R4,R5
#འུ་,#ཆི་ཟིག་,།,ད་,#དེ་ནས་,#ཅི་ཞིག་,༻,ཡིན,།_,༙,ད་
བཞག་,ད,།_༺,#ཆི་ཟིག་,།,#ཅི་ཞིག་,༻,༙,བདག་,གོ་,༙
#ཕྱི་ར་,༻,གོམ་པ་,ལྔ་,#བཅུ་དྲུག་,#ཅི་ཞིག་,ཡར་,སོང་,༺,ཟིག,།༻_
