Char,unicode repr,pybo Category,Name,General Category,Canonical-Combining-Class,Decomposition-Type,Decomposition-Mapping,IndicPositionalCategory,IndicSyllabicCategory,OpenType (from Harfbuzz),Sanskrit
0F63,—ལ—,CONS,TIBETAN LETTER LA,Lo,0,,,,Consonant,B,
0F64,—ཤ—,CONS,TIBETAN LETTER SHA,Lo,0,,,,Consonant,B,
0F65,—ཥ—,SKRT_CONS,TIBETAN LETTER SSA,Lo,0,,,,Consonant,B,1
0F66,—ས—,CONS,TIBETAN LETTER SA,Lo,0,,,,Consonant,B,
0F67,—ཧ—,CONS,TIBETAN LETTER HA,Lo,0,,,,Consonant,B,
0F68,—ཨ—,CONS,TIBETAN LETTER A,Lo,0,,,,Consonant,B,
0F69,—ཀྵ—,SKRT_CONS,TIBETAN LETTER KSSA,Lo,0,,0F40 0FB5,,Consonant,B,1
0F6A,—ཪ—,CONS,TIBETAN LETTER FIXED-FORM RA,Lo,0,,,,Consonant,B,1
0F6B,—ཫ—,NON_BO_NON_SKRT,TIBETAN LETTER KKA,Lo,0,,,,Consonant,B,
0F6C,—ཬ—,NON_BO_NON_SKRT,TIBETAN LETTER RRA,Lo,0,,,,Consonant,B,
0F71,—ཱ—,SKRT_SUB_CONS,TIBETAN VOWEL SIGN AA,Mn,129,,,Bottom,Vowel-Dependent,VBlw,1
0F72,—ི—,VOW,TIBETAN VOWEL SIGN I,Mn,130,,,Top,Vowel-Dependent,VAbv,
0F73,—ཱི—,SKRT_VOW,TIBETAN VOWEL SIGN II,Mn,0,,0F71 0F72,Top-And-Bottom,Vowel-Dependent,VAbv,1
0F74,—ུ—,VOW,TIBETAN VOWEL SIGN U,Mn,132,,,Bottom,Vowel-Dependent,VBlw,
0F75,—ཱུ—,SKRT_VOW,TIBETAN VOWEL SIGN UU,Mn,0,,0F71 0F74,Bottom,Vowel-Dependent,VBlw,1
0F76,—ྲྀ—,SKRT_VOW,TIBETAN VOWEL SIGN VOCALIC R,Mn,0,,0FB2 0F80,Top-And-Bottom,Vowel-Dependent,VAbv,1
0F77,—ཷ—,SKRT_VOW,TIBETAN VOWEL SIGN VOCALIC RR,Mn,0,compat,0FB2 0F81,Top-And-Bottom,Vowel-Dependent,VAbv,1
0F78,—ླྀ—,SKRT_VOW,TIBETAN VOWEL SIGN VOCALIC L,Mn,0,,0FB3 0F80,Top-And-Bottom,Vowel-Dependent,VAbv,1
0F79,—ཹ—,SKRT_VOW,TIBETAN VOWEL SIGN VOCALIC LL,Mn,0,compat,0FB3 0F81,Top-And-Bottom,Vowel-Dependent,VAbv,1
0F7A,—ེ—,VOW,TIBETAN VOWEL SIGN E,Mn,130,,,Top,Vowel-Dependent,VAbv,
0F7B,—ཻ—,SKRT_VOW,TIBETAN VOWEL SIGN EE,Mn,130,,,Top,Vowel-Dependent,VAbv,1
0F7C,—ོ—,VOW,TIBETAN VOWEL SIGN O,Mn,130,,,Top,Vowel-Dependent,VAbv,
0F7D,—ཽ—,SKRT_VOW,TIBETAN VOWEL SIGN OO,Mn,130,,,Top,Vowel-Dependent,VAbv,1
0F7E,—ཾ—,IN_SYL_MARK,TIBETAN SIGN RJES SU NGA RO,Mn,0,,,Top,Bindu,VAbv,1
0F7F,—ཿ—,SKRT_LONG_VOW,TIBETAN SIGN RNAM BCAD,Mc,0,,,Right,Visarga,VMPst,1
0F80,—ྀ—,SKRT_VOW,TIBETAN VOWEL SIGN REVERSED I,Mn,130,,,Top,Vowel-Dependent,VAbv,1
0F81,—ཱྀ—,SKRT_VOW,TIBETAN VOWEL SIGN REVERSED II,Mn,0,,0F71 0F80,Top-And-Bottom,Vowel-Dependent,VAbv,1
0F82,—ྂ—,SKRT_VOW,TIBETAN SIGN NYI ZLA NAA DA,Mn,230,,,Top,Bindu,VMAbv,1
