# form	pos	lemma	sense	freq
ནང་གསེས་	NOUN			
ནང་ཆས་	OTHER			
ནང་ཆེན་	OTHER			
ནང་ཆོས་	OTHER			
ནང་ཏིང་ངེ་འཛིན་	NOUN			
ནང་དགེ་སྦྱོང་	NOUN			
ནང་དགོན་	OTHER			
ནང་དོན་	OTHER			
ནང་པ	ADV			
ནང་པ་	NOUN			
ནང་བ	ADV			
ནང་བསྟན་	OTHER			
ནང་བློན་	NOUN			
ནང་མ་	OTHER			
ནང་མཆོད་	NOUN			
ནང་མཐུན་	NOUN			
ནང་མཐུན་པ	ADJ			
ནང་མི	NOUN			
ནང་མི་	NOUN			
ནང་ཚན་	OTHER			
ནང་འཁྲུག་	OTHER			
ནང་འཛིངས་	NOUN			
ནང་རིག་	OTHER			
ནང་རིག་པ	NOUN			
ནང་རིག་པ་	OTHER			
ནང་རིམ་	NOUN			
ནང་རོལ་	NOUN			
ནང་རྒྱུད་	NOUN			
ནང་རྙེད་	OTHER			
ནང་ཤོད་	ADV			
ནང་ས	OTHER			
ནང་སེམས་	OTHER			
ནང་སོག་	OTHER			
ནང་སྒྲུབ་	PROPN			
ནངས་	ADV			
ནངས་པ	ADV			
ནངས་བ	ADV			
ནད	NOUN			
ནད་	NOUN			
ནད་གདོན་	OTHER			
ནད་གཞི་	OTHER			
ནད་གཡོག་	NOUN			
ནད་ངོས་	OTHER			
ནད་ཐོག་	OTHER			
ནད་དུག་	OTHER			
ནད་པ	NOUN			
ནད་པ་	NOUN			
ནད་པ་སྙིང་བརྩེ་འཁོར་	NOUN			
ནད་བཅོས་	PROPN			
ནད་བུ་	NOUN			
ནད་མུག་	OTHER			
ནད་མེད་	ADJ			
ནད་མེད་གཟི་བརྗིད་	NOUN			
ནད་མེད་ཟ་	NOUN			
ནད་ཡམས་	OTHER			
ནད་རིགས་	OTHER			
ནད་རྟགས་	OTHER			
ནད་སེལ་	OTHER			
ནད་སྨན་	OTHER			
ནན་	NOUN			
ནན་ཅན་	ADJ			
ནན་ཆེ	OTHER			
ནན་ཏ	ADV			
ནན་ཏན	NOUN			
ནན་ཏན་	NOUN			
ནན་ཏན་ཞུས་	NOUN			
ནན་ཏན་སྙིང་པོད་	NOUN			
ནན་ཐུར་	NOUN			
ནམ	PART			
ནམ་	PRON			
ནམ་གཞག་	ADV			
ནམ་གུང་	NOUN			
ནམ་གྲུ་	PROPN			
ནམ་ནངས་	NOUN			
ནམ་ནད་ཟླ་བ	PROPN			
ནམ་པ་	NOUN			
ནམ་ཕུགས་	ADV			
ནམ་ཕྱེད་	NOUN			
ནམ་བཞིག་	ADV			
ནམ་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་	NOUN			
ནམ་མཁ	NOUN			
ནམ་མཁའ	NOUN			
ནམ་མཁའ་	NOUN			
ནམ་མཁའ་མཐའ་ཡས་སྐྱེ་མཆེད་	NOUN			
ནམ་མཁའ་རྒྱལ་མཚན་	PROPN			
ནམ་མཁའ་ལྡིང་	PUNCT			
ནམ་མཁའ་སེང་གེ་དཔལ་བཟང་པོ	PROPN			
ནམ་མཁའི་ནོར་བུ	PROPN			
ནམ་མཁར་	NOUN			
ནམ་ཞག་	OTHER			
ནམ་ཞར་	OTHER			
ནམ་ཟླ	NOUN			
ནམ་ཟླ་	NOUN			
ནམ་འཆི་	NOUN			
ནམ་འཕང་	OTHER			
ནམ་ཡང་	OTHER			
ནམ་ལངས་	ADV			
ནམ་སྤྲུལ་	OTHER			
ནམ་སྨད་	ADV			
ནམ་སྲོད་	NOUN			
ནམས་	NOUN			
ནར་	OTHER			
ནར་ནར་	ADV			
ནར་མ	ADJ			
ནལ་	VERB			
ནས	SCONJ			
ནས་	SCONJ			
ནས་ཆང་	OTHER			
ནས་རྫོང་	OTHER			
ནཱ་ག་	X			
ནཱ་ག་ཇུ་ན་	PROPN			
ནཱ་གཱ་རྫུ་ན	PROPN			
ནཱ་ཏ་	PROPN			
ནཱ་ཐ	PROPN			
ནཱ་ཐན་	PROPN			
ནཱ་བཟའ་	NOUN			
ནཱ་རཱོ་པ	PROPN			
ནཱ་རོ	PROPN			
ནཱ་རོ་	PROPN			
ནཱ་རོ་ཆོས་	NOUN			
ནཱ་རོ་ཏ་པ	PROPN			
ནཱ་རོ་པ	PROPN			
ནཱ་རོ་པ་	PROPN			
ནཱ་རོ་བོན་ཆུང་	PROPN			
ནཱ་རོ་མཻ་ཏྲི	PROPN			
ནཱ་རོ་མཻ་ཏྲི་	PROPN			
ནཱ་རོ་འགྲེལ་ཆེན་	PROPN			
ནཱ་ལཱ་ནྡཱ	OTHER			
ནཱ་ལཱ་ནྡཱ་	OTHER			
ནཱ་ལེ་ནྡྲ	OTHER			
ནཱ་ལེན་དྲ	PROPN			
ནཱ་ལེན་དྲ་པ	NOUN			
ནཱ་ལེན་དྲ་པ་	NOUN			
ནཱབ་	OTHER			
ནཱརོ་པ་	PROPN			
ནི	PART			
ནི་	PART			
ནི་གུ་མ་	NOUN			
ནི་ཐིང་གཱ་ལེ་	OTHER			
ནི་རྒྲ་ཧི་ཏ	X			
ནི་རྨ་ཀ	OTHER			
ནི་སྐ་ལངྐ་	PROPN			
ནིང་	OTHER			
ནིར	NOUN			
ནིར་མཱ་ཎ་ཀ་ཡ་	NOUN			
ནིསྐ་ལང་ཀ་དེ་ཝ་	PROPN			
ནུ་བོ	NOUN			
ནུ་བོ་	NOUN			
ནུ་བོར་	OTHER			
ནུ་མ་	NOUN			
ནུ་མིན་	PROPN			
ནུ་མོ་	NOUN			
ནུ་ཞོ་	NOUN			
ནུ་འབུར་	NOUN			
ནུ་རིན་	OTHER			
ནུ་ལྡན་	NOUN			
ནུ་སོར་	NOUN			
ནུབ	VERB			
ནུབ་	ADV			
ནུབ་ཁུལ་	OTHER			
ནུབ་དུས	PROPN			
ནུབ་པ	VERB			
ནུབ་པ་	VERB			
ནུབ་ཕྱོགས་	NOUN			
ནུབ་ཕྱོགས་ལོགས་	NOUN			
ནུབ་བ	VERB			
ནུབ་བྱང་	OTHER			
ནུབ་མ	OTHER			
ནུབ་མོ	ADV			
ནུབ་མོ་	NOUN			
ནུབ་མོ་དགེ་འདུན་	NOUN			
ནུབ་མོ་ནམ་མཁའ་	NOUN			
ནུབ་ཚེ	NOUN			
ནུབ་རར་	PROPN			
ནུབ་རྒྱུད་	OTHER			
ནུབ་རྨི་ལམ་	NOUN			
ནུབ་རླུང་	OTHER			
ནུབ་སྐྱོད་	OTHER			
ནུབ་སྒོ་	NOUN			
ནུར་	VERB			
ནུས	VERB			
ནུས་	VERB			
ནུས་ཁུངས་	OTHER			
ནུས་པ	VERB			
ནུས་པ་	VERB			
ནུས་མཐུ་	NOUN			
ནུས་མིང་	OTHER			
ནུས་རྩལ་	OTHER			
ནུས་ལྡན་	ADJ			
ནུས་ལྡན་རྡོ་རྗེ	PROPN			
ནུས་ཤུགས་	OTHER			
ནེ་པཱ་ལ་	OTHER			
ནེ་ཙོ	NOUN			
ནེ་ཙོ་	NOUN			
ནེ་རཉྫ་ན	PROPN			
ནེ་རཉྫ་ར	PROPN			
ནེ་རིངས་པ	PROPN			
ནེ་རིངས་པ་	PROPN			
ནེའུ་གསིང་	NOUN			
ནེའུ་ལི་	OTHER			
ནེའུ་ལེ་	OTHER			
ནཻ་རཉྫ་ན	NOUN			
ནོ	PART			
ནོ་	PART			
ནོ་ཊ་	OTHER			
ནོ་ནོ་	PROPN			
ནོ་མིན་ཧན་	PROPN			
ནོག་	NOUN			
ནོག་ཅན་	ADJ			
ནོངས	VERB			
ནོངས་	VERB			
ནོངས་པ	VERB			
ནོངས་པ་	VERB			
ནོད	VERB			
ནོད་	VERB			
ནོད་པ	VERB			
ནོད་པ་	VERB			
ནོན	VERB			
ནོན་	VERB			
ནོན་པ	VERB			
ནོམ་པ་	VERB			
ནོར	NOUN			
ནོར་	NOUN			
ནོར་ཁུད་པ་	NOUN			
ནོར་གནག་	OTHER			
ནོར་གྱི་སྤྱན	X			
ནོར་གླིང་	OTHER			
ནོར་ཅན་	PROPN			
ནོར་ཆེན་	NOUN			
ནོར་དཔལ་	PROPN			
ནོར་དབྱིག་	NOUN			
ནོར་དོན་	OTHER			
ནོར་པ་	VERB			
ནོར་ཕྱུག་	ADJ			
ནོར་ཕྱུགས་	NOUN			
ནོར་ཕྲེང་	OTHER			
ནོར་ཕྲེང་ཅན་	OTHER			
ནོར་བ	VERB			
ནོར་བ་	VERB			
ནོར་བཅོལ་	NOUN			
ནོར་བདག	NOUN			
ནོར་བདག་	NOUN			
ནོར་བདག་པོ་	NOUN			
ནོར་བཟང་	PROPN			
ནོར་བཟང་སྲུང་བ་	PROPN			
ནོར་བུ	NOUN			
ནོར་བུ་	NOUN			
ནོར་བུ་གླིང་	PROPN			
ནོར་བུ་རིན་ཆེན་	NOUN			
ནོར་བུས་	PROPN			
ནོར་བྲང་	OTHER			
ནོར་མེད་	ADJ			
ནོར་མེད་རྒྱན་	NOUN			
ནོར་ཝེ	OTHER			
ནོར་ཞིང་ཁང་	NOUN			
ནོར་ཟང་ཟིང་	NOUN			
ནོར་འཁྲུལ་	NOUN			
ནོར་འགྱེད་	OTHER			
ནོར་འཛིན་	NOUN			
ནོར་འཛོམ་	NOUN			
ནོར་རྒྱས་ནང་པ་	PROPN			
ནོར་རྫས་	NOUN			
ནོར་རྫོང་	OTHER			
ནོར་ལུག་	NOUN			
ནོར་སྐལ་	NOUN			
ནོར་སྐྱོང་	OTHER			
ནོར་སྔོན་	OTHER			
ནོར་སྦས་	PROPN			
ནོར་སྲིད་	OTHER			
ནོར་སློངས་	NOUN			
ནོས་	VERB			
ནྱ་གྲོ་ངྷ	NOUN			
ནྱ་གྲོ་ཏ	PROPN			
ནྱ་གྲོ་ཏ་	PROPN			
ནྱ་གྲོ་དྷ	PROPN			
ནྱ་གྲོ་དྷ་	PROPN			
ནྱ་གྲོ་ཧ་	NOUN			
པ	OTHER			
པ་	OTHER			
པ་གོར་	PROPN			
པ་གོར་བཻ་རོ་ཅ་ན་རཀྵི་ཏ	PROPN			
པ་གོར་བཻ་རོ་ཙ་ན་	PROPN			
པ་ཉྕ་ཏ་ནྟྲ་	X			
པ་ཎྚི་ཏ	PROPN			
པ་ཎྜི་	NOUN			
པ་ཎྜི་ཏ	PROPN			
པ་ཎྜི་ཏ་	X			
པ་ཎྜི་ཏས་	PROPN			
པ་ཏྲ་	OTHER			
པ་ད་པ་རི་ཤུདྡྷེ	X			
པ་དམ་	OTHER			
པ་དམ་པད་མ་དོན་ཡོད་ཉིན་བྱེད་དབང་པོ་	PROPN			
པ་དམོ་	OTHER			
པ་ནྩ	OTHER			
པ་པ་	OTHER			
པ་ཚབ་	PROPN			
པ་ཚབ་ཉི་མ་གྲགས་	PROPN			
པ་ར་ཧི་ཏ་བྷ་དྲ་	PROPN			
པ་རཾ་མུ་ཁེ	X			
པ་ལ་ད་བར་ནི་	PROPN			
པ་ལ་ད་བར་ནེ	PROPN			
པ་ལ་ད་བར་ནེ་	PROPN			
པ་ལ་དབར་ནེ	PROPN			
པ་ལི་ཏ་	OTHER			
པ་སི་ལི་	PROPN			
པ་སོ་ཐང་	PROPN			
པ་སྣམ་	OTHER			
པགས་	NOUN			
པགས་པ་	NOUN			
པགས་པ་རུས་པ་	NOUN			
པགས་པ་ལས་	NOUN			
པང་	NOUN			
པང་ཀོང་	NOUN			
པང་གོང་	PROPN			
པང་གོང་ཕྱག་རྒྱ་པ	PROPN			
པང་དུ་	OTHER			
པང་ནས་སྐྱེས་	PROPN			
པང་པ	VERB			
པང་བ	VERB			
པང་སྟེང་	NOUN			
པངྨ་	NOUN			
པཎ་གྲུབ	NOUN			
པཎ་གྲུབ་	OTHER			
པཎ་ཆེན	NOUN			
པཎ་ཆེན་	NOUN			
པཎ་ཆེན་ནཱ་རོ	PROPN			
པཎ་ཆེན་ནཱ་རོ་	PROPN			
པཎ་ཆེན་ཤཱ་ཀྱ་མཆོག་ལྡན་	PROPN			
པཎ་ཆེན་ཨེར་ཏི་ནི་	PROPN			
པཎྚི་	NOUN			
པཎྚི་ཏ་	NOUN			
པཎྜི་ཏ	NOUN			
པཎྜི་ཏ་	NOUN			
པཎྡི་ཏ་	NOUN			
པད་གླིང་	OTHER			
པད་དཀར་	OTHER			
པད་དཀར་ཕྲེང་བ་	NOUN			
པད་ཕྲེང་	OTHER			
པད་མ	NOUN			
པད་མ་	NOUN			
པད་མ་གླིང་པ་	PROPN			
པད་མ་ཅན་	PROPN			
པད་མ་དཀར་པོ	PROPN			
པད་མ་དོན་ཡོད་ཉིན་བྱེད་དབང་པོ་	PROPN			
པད་མ་མཁྱེན་བརྩེའི་འོད་ཟེར་	PROPN			
པད་མ་ཚེ་དབང་	PROPN			
པད་མ་འབྱུང་གནས་	PROPN			
པད་མ་རུ་ཙེ་	PROPN			
པད་མཚོ་	NOUN			
པད་མའི་རྒྱལ་མཚན་	PROPN			
པད་མས་	PROPN			
པད་མོ	OTHER			
པད་མོ་	NOUN			
པད་ཚལ་	OTHER			
པད་འཕྲིན་	OTHER			
པད་འབྱུང་	PROPN			
པད་ར	OTHER			
པད་རྒྱལ་	PROPN			
པདྨ	NOUN			
པདྨ་	NOUN			
པདྨ་ཀ་ར་གུཔྟ་	PROPN			
པདྨ་ཁ་	NOUN			
པདྨ་གུབྟ་པདྨ་སྦས་པ་	PROPN			
པདྨ་ཉིན་བྱེད་	PROPN			
པདྨ་དམ་པ	PROPN			
པདྨ་བཀའ་ཐང་	PROPN			
པདྨ་འདབ་	NOUN			
པདྨ་འབྱང་གནས་	PROPN			
པདྨ་འབྱུང་གནས་	PROPN			
པདྨ་འོད་	NOUN			
པདྨ་འོད་འབར་	PROPN			
པདྨ་རཱ་ག	NOUN			
པདྨ་རཱ་ག་	NOUN			
པདྨ་རྙོག་པ་མེད་པ་སྤྱི་བོ	NOUN			
པདྨ་སཾ་བྷ་ཝ	PROPN			
པདྨ་སཾ་བྷ་ཝ་	PROPN			
པདྨའི་བླ་	PROPN			
པདྨའི་རྩ་ལག་	PROPN			
པདྨོ་	PROPN			
པན་	OTHER			
པན་སྐན་	PROPN			
པའ་	OTHER			
པའེ་ཁྲོན་	OTHER			
པར་	OTHER			
པར་ཁང་	OTHER			
པར་ཐེངས་	OTHER			
པར་དེབ་	OTHER			
པར་བླངས་	OTHER			
པར་མ་	OTHER			
པར་རི	OTHER			
པར་རིས་	OTHER			
པར་ཤིང་	OTHER			
པར་སིག་	PROPN			
པར་སྐྲུན་	OTHER			
པར་སྲུང་	OTHER			
པས	ADP			
པས་	ADP			
པས་མོ་	NOUN			
པཱ་ཌ་ལི་པུ་ཏྲ་	PROPN			
པཱ་ཎི་	PROPN			
པཱ་ཎི་ནི	PROPN			
པཱ་ཎི་ནི་	PROPN			
པཱ་ཎི་བྱཱ་ཀ་ར་ཎ་	PROPN			
པི	X			
པི་	OTHER			
པི་ཊ་ཀ་	X			
པི་ཏྲི་བ	PROPN			
པི་ཝང་	OTHER			
པི་ཝང་རྒྱུད་	NOUN			
པི་ཝང་རྫོང་	PROPN			
པི་ཝཾ་	X			
པི་ཤ་ཙི	NOUN			
པིང་ཞིན་	PROPN			
པིར་	PROPN			
པུ་ཀ་ལ་ད་	PROPN			
པུ་ཎྜ་རཱི་ཀ	OTHER			
པུ་ཎྜ་རི་ཀ	OTHER			
པུ་ཏི་	OTHER			
པུ་རངས་	PROPN			
པུ་ལ་ཧ་རི	PROPN			
པུ་ཤུ	NOUN			
པུ་སྟི་ཀ་	ADJ			
པུཎྱ་ཤྲཱི་	NOUN			
པུར	NOUN			
པུར་	NOUN			
པུར་ཁང་	NOUN			
པུར་གདུང་	NOUN			
པུར་ཞལ་	NOUN			
པུར་ཤ་	PROPN			
པུརྞི་ཀ་	PROPN			
པུས	NOUN			
པུས་	NOUN			
པུས་ནུབ་	ADJ			
པུས་མོ	NOUN			
པུས་མོ་	NOUN			
པུས་མོ་གཡས་	NOUN			
པུས་མོ་ནུབ་	ADJ			
པུསྟཀ་	OTHER			
པེ་ཅིན་	PROPN			
པེ་ཏ	PROPN			
པེ་ཏ་	PROPN			
པེ་ཏ་མགོན་སྐྱིད་	PROPN			
པེན་ཏ་ཐ	PROPN			
པེན་ཏ་བ	PROPN			
པེན་ཏ་བ་	PROPN			
པོ	PART			
པོ་	PART			
པོ་ཏ་ལ	PROPN			
པོ་ཏ་ལ་	PROPN			
པོ་ཏ་ལར་	PROPN			
པོ་ཏི་	NOUN			
པོ་ཏོ་	OTHER			
པོ་ཏོ་བ	OTHER			
པོ་བསྟོད་	OTHER			
པོག་ཕོར་	NOUN			
པོད་	NOUN			
པོད་གསུམ་	OTHER			
པོད་ཆུང་	OTHER			
པོད་ཆེན་	OTHER			
པོད་བཞི	OTHER			
པོད་བཞི་མ་	OTHER			
པོད་འཕྲེང་	OTHER			
པོད་ལྔ	OTHER			
པོད་ལྔ་	OTHER			
པྱོགས་སྒྲིག་	OTHER			
པྲ་	NOUN			
པྲ་ཀ་ར་ཎ་སྡེ་བརྒྱད་	PROPN			
པྲ་ཉྫ་ཤྲི་བྷཱ་དྲ་	OTHER			
པྲ་ཏི་	PROPN			
པྲ་དུ་མ་རྩེ་	PROPN			
པྲ་ཛྙ་རཀྵི་ཏ	PROPN			
པྲ་ཛྙཱ་པཱ་ལ་	PROPN			
པྲ་ཛྙཱ་ཤྲཱི་ན་	PROPN			
པྲངས་འབུར་	NOUN			
པྲཏཱ་ར་	X			
པྲད་	VERB			
པྲཛྙ་ཝརྨྨ་	PROPN			
པྲི་ཡང་ཀུ	PROPN			
པྲེ་ཏ་ཀ་	PROPN			
པྲོས་པ་	NOUN			
ཕ	NOUN			
ཕ་	NOUN			
ཕ་ཀི་	DET			
ཕ་ཁྱིམ་	OTHER			
ཕ་ཁྱེའུ་	NOUN			
ཕ་གི་	DET			
ཕ་གུ་	NOUN			
ཕ་ཆོས་	PROPN			
ཕ་ཇོ	NOUN			
ཕ་ཇོ་	NOUN			
ཕ་ཏས་	PROPN			
ཕ་དམ་པ་	OTHER			
ཕ་དམ་པ་སངས་རྒྱས་	PROPN			
ཕ་ནོར་	NOUN			
ཕ་པ་	OTHER			
ཕ་ཕོག་	OTHER			
ཕ་ཕོང་	NOUN			
ཕ་བཟང་	NOUN			
ཕ་བཟངས་	NOUN			
ཕ་བསད་	NOUN			
ཕ་བུ	NOUN			
ཕ་བུ་	NOUN			
ཕ་བོང་	NOUN			
ཕ་བོང་ཁ་པ	OTHER			
ཕ་བོང་གཡག་རོ་	NOUN			
ཕ་བྲང་	NOUN			
ཕ་མ	NOUN			
ཕ་མ་	NOUN			
ཕ་མ་མཆིས་བྲང་བུ་	NOUN			
ཕ་མིང་	NOUN			
ཕ་མེས་	NOUN			
ཕ་མེས་རྒྱུད་	NOUN			
ཕ་ཚན་	NOUN			
ཕ་ཟད་	NOUN			
ཕ་འབགས་	OTHER			
ཕ་འབོད་	OTHER			
ཕ་ཡུལ་	NOUN			
ཕ་ཡུལ་ཕ་ཁང་ཕ་ཞིང་	NOUN			
ཕ་རན་སི	PROPN			
ཕ་རབས་	NOUN			
ཕ་རི་སི	OTHER			
ཕ་རོལ་	NOUN			
ཕ་རོལ་ཏུ་ཕྱིན་པ་	NOUN			
ཕ་རོལ་པོ	NOUN			
ཕ་རོལ་པོ་	NOUN			
ཕ་རོལ་ཕྱིན་	NOUN			
ཕ་རོལ་མུ་སྟེགས་རྩོད་	NOUN			
ཕ་རོལ་ལྷོ་ཕྱོགས་	NOUN			
ཕ་རྒན་	NOUN			
ཕ་རྒྱུད་	NOUN			
ཕ་རྒྱུད་མ་རྒྱུད་	NOUN			
ཕ་ལམ་	OTHER			
ཕ་ལུ་	PROPN			
ཕ་ལྷ	OTHER			
ཕ་ཤཱན་	OTHER			
ཕ་ཤུལ་	NOUN			
ཕ་ས་	OTHER			
ཕ་སྐད་	OTHER			
ཕ་སྤུན་	NOUN			
ཕག	NOUN			
ཕག་	NOUN			
ཕག་གཅོད་	OTHER			
ཕག་གསོ	OTHER			
ཕག་གུ་	NOUN			
ཕག་གྲུ	PROPN			
ཕག་གྲུ་	PROPN			
ཕག་ཅུང་	OTHER			
ཕག་ནོར་	NOUN			
ཕག་པ་	OTHER			
ཕག་ཕྲུག་	NOUN			
ཕག་བརྔན་	NOUN			
ཕག་མཆོག་	OTHER			
ཕག་མོ	NOUN			
ཕག་མོ་	PROPN			
ཕག་མོ་གྲུ་པ	PROPN			
ཕག་མོ་གྲུར་	PROPN			
ཕག་མོ་མངོན་འབྱུང་	PROPN			
ཕག་རྒོད་	NOUN			
ཕང་འགྲོ	OTHER			
ཕངས	VERB			
ཕངས་	VERB			
ཕངས་པ	VERB			
ཕངས་པ་	VERB			
ཕངས་མེད་	ADJ			
ཕངས་སེམས་	NOUN			
ཕཊ་	X			
ཕན	VERB			
ཕན་	NOUN			
ཕན་གཏེར་	OTHER			
ཕན་གནོད་	NOUN			
ཕན་གྲོགས་	OTHER			
ཕན་ཆད་	ADV			
ཕན་ཐོགས་	NOUN			
ཕན་ནུས་	OTHER			
ཕན་པ	VERB			
ཕན་པ་	VERB			
ཕན་བ་	VERB			
ཕན་བདེ	NOUN			
ཕན་བདེ་	OTHER			
ཕན་བྱེད་	NOUN			
ཕན་བྱེད་མགོན་	NOUN			
ཕན་ཚུན་	ADV			
ཕན་ཚུལ་	NOUN			
ཕན་འདོགས་	NOUN			
ཕན་འདོད་	NOUN			
ཕན་འབྲས་	OTHER			
ཕན་ཡོན་	NOUN			
ཕན་རྒྱུ་	VERB			
ཕབ	VERB			
ཕབ་	VERB			
ཕབ་པ	VERB			
ཕབ་པ་	VERB			
ཕབ་བཤུས་	OTHER			
ཕབ་མི་	OTHER			
ཕབས་	NOUN			
ཕམ་	VERB			
ཕམ་ཐིང་པ་	PROPN			
ཕམ་པ	VERB			
ཕམ་པ་	VERB			
ཕམ་ཕབས་	NOUN			
ཕམ་བཞི	OTHER			
ཕའེ་གུན་	OTHER			
ཕར་ཕྱིན་	NOUN			
ཕལ་	NOUN			
ཕལ་ཆེ	ADJ			
ཕལ་ཆེ་བ	OTHER			
ཕལ་ཆེན་པ	NOUN			
ཕལ་ཆེན་པ་	PROPN			
ཕལ་ཆེན་སྡེ་	PROPN			
ཕལ་པ	ADJ			
ཕལ་པ་	NOUN			
ཕལ་པོ་ཆེ་	ADJ			
ཕལ་པོ་པོ་ཆེ་	ADJ			
ཕལ་བ	NOUN			
ཕལ་བ་	NOUN			
ཕལ་མོ་ཆེ	OTHER			
ཕལ་མོ་ཆེ་	ADJ			
ཕལ་སྐད་	NOUN			
ཕས་	NOUN			
ཕས་རྒོལ་	NOUN			
ཕས་རྒོལ་གཞུང་ལུགས་	NOUN			
ཕི་	OTHER			
ཕིན་ཞིན་ཀོན་	OTHER			
ཕུ	NOUN			
ཕུ་	NOUN			
ཕུ་ཀྲུ་	OTHER			
ཕུ་དུང་	NOUN			
ཕུ་ནུ་	NOUN			
ཕུ་ནུ་བོ་	OTHER			
ཕུ་ནུ་མོ	NOUN			
ཕུ་ནུ་མོ་	NOUN			
ཕུ་པོ་	NOUN			
ཕུ་བོ	NOUN			
ཕུ་བོ་	NOUN			
ཕུ་བོས་	PROPN			
ཕུ་མོ	NOUN			
ཕུ་འདའ་	OTHER			
ཕུ་ལ་ཧ་རི	PROPN			
ཕུ་ལ་ཧ་རི་	PROPN			
ཕུག་	NOUN			
ཕུག་ཁང་པ	PROPN			
ཕུག་ཆེན་	NOUN			
ཕུག་པ	NOUN			
ཕུག་པ་	VERB			
ཕུག་པདྨ་རྫོང་	PROPN			
ཕུག་ཕྲན་	NOUN			
ཕུག་རོན་	NOUN			
ཕུག་རོན་ཕུག་	PROPN			
ཕུག་ལུགས་	OTHER			
ཕུགས་	VERB			
ཕུགས་བསམ་	OTHER			
ཕུགས་ལུགས་	OTHER			
ཕུང་	VERB			
ཕུང་ཁམས་	NOUN			
ཕུང་ཁམས་སྐྱེ་མཆེད་	NOUN			
ཕུང་ཁམས་སྐྱེ་མཆེད་རྫས་ཡོད་བཏགས་ཡོད་	NOUN			
ཕུང་ཆེན་	NOUN			
ཕུང་དཀྲོགས་	OTHER			
ཕུང་པོ	NOUN			
ཕུང་པོ་	NOUN			
ཕུང་པོ་ཁམས་	NOUN			
ཕུང་པོ་གསུམ་པ་	PROPN			
ཕུང་པོ་ལྔ་པ	PROPN			
ཕུང་པོ་ལྔ་འཛིན་	NOUN			
ཕུང་པོ་སྐྱེ་ཁམས་	NOUN			
ཕུང་བོ་	OTHER			
ཕུང་མེད་	NOUN			
ཕུང་འདྲེ	NOUN			
ཕུང་འདྲེ་	NOUN			
ཕུང་ཤི་སྐྱ་ཐེར་	OTHER			
ཕུད	VERB			
ཕུད་	NOUN			
ཕུད་པ	VERB			
ཕུད་པ་	VERB			
ཕུད་བུ་	NOUN			
ཕུད་རབས་	PROPN			
ཕུན་ཐེན་	PROPN			
ཕུན་ད་རཱི་ཀ	NOUN			
ཕུན་ཚོགས་	ADJ			
ཕུན་ཚོགས་གླིང་	PROPN			
ཕུན་ཚོགས་དབང་རྒྱལ་	PROPN			
ཕུན་ཚོགས་བཀྲ་ཤིས་	PROPN			
ཕུན་ལམ་	NOUN			
ཕུན་སུམ་	OTHER			
ཕུན་སུམ་ཚོགས་	ADJ			
ཕུན་སུམ་ཚོགས་པ	ADJ			
ཕུན་སུམ་ཚོགས་པ་	ADJ			
ཕུབ	VERB			
ཕུབ་ཆུང་	NOUN			
ཕུབ་པ	VERB			
ཕུའུ་ཞི་ཅིན་	PROPN			
ཕུའུ་རྩེ	OTHER			
ཕུའོ་	NOUN			
ཕུར་	VERB			
ཕུར་པ	OTHER			
ཕུར་པ་	NOUN			
ཕུར་བ་	VERB			
ཕུར་བུ	PROPN			
ཕུར་བུ་	PROPN			
ཕུལ	VERB			
ཕུལ་	VERB			
ཕུལ་པ	VERB			
ཕུལ་ཕྱིན་	ADJ			
ཕུལ་བ	VERB			
ཕུལ་བ་	VERB			
ཕུལ་བས་	OTHER			
ཕུལ་བྱུང་	OTHER			
ཕེང་ཏེ་ཧོའེ་	OTHER			
ཕེད་	VERB			
ཕེད་པ	VERB			
ཕེབ་པ	VERB			
ཕེབས	VERB			
ཕེབས་	VERB			
ཕེབས་ཁར་	OTHER			
ཕེབས་དུས་	OTHER			
ཕེབས་པ	VERB			
ཕེབས་པ་	VERB			
ཕེབས་བཞུགས་	OTHER			
ཕེབས་ལམ་	OTHER			
ཕེར་བ	VERB			
ཕོ	NOUN			
ཕོ་	NOUN			
ཕོ་གཅོད་	NOUN			
ཕོ་གནས་	NOUN			
ཕོ་གཞོན་	NOUN			
ཕོ་ཉ	NOUN			
ཕོ་ཉ་	NOUN			
ཕོ་ཉ་པ	NOUN			
ཕོ་ཉ་བ་	NOUN			
ཕོ་ཉ་མོ	NOUN			
ཕོ་བ	VERB			
ཕོ་བོ	NOUN			
ཕོ་བྲང་	NOUN			
ཕོ་བྲང་ཞི་བ་འོད་	PROPN			
ཕོ་བྲང་སེང་འབྲུག་སྟག་རྩེ་	PROPN			
ཕོ་བྲང་སླས་	NOUN			
ཕོ་མཚན་	NOUN			
ཕོ་མོ	NOUN			
ཕོ་མོ་	NOUN			
ཕོ་ཝ་མ་སྐྱེས་	OTHER			
ཕོ་འདྲེ་	NOUN			
ཕོ་འབྲུག་	OTHER			
ཕོ་ཡོངས་ཟ་རྒྱལ་མོ་བཙུན་	PROPN			
ཕོ་རང་	NOUN			
ཕོ་རོག་	OTHER			
ཕོ་རོག་དཔུང་དཀར་	PROPN			
ཕོ་རྒོད་པ་	ADJ			
ཕོ་ལོག་	NOUN			
ཕོ་ལྷ་	OTHER			
ཕོག	VERB			
ཕོག་	VERB			
